('Total Revenue', '97,150,000.00', '96,773,000.00', '81,462,000.00', '53,823,000.00', '31,536,000.00')
         297686 function calls (297517 primitive calls) in 4.353 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      908    3.157    0.003    3.157    0.003 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.614    0.614    0.614    0.614 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.262    0.262    0.262    0.262 {built-in method _socket.getaddrinfo}
        1    0.036    0.036    0.036    0.036 {method 'set_default_verify_paths' of '_ssl._SSLContext' objects}
     2691    0.023    0.000    0.120    0.000 parser.py:301(parse_starttag)
    22046    0.020    0.000    0.020    0.000 {method 'match' of 're.Pattern' objects}
        2    0.017    0.008    0.201    0.100 parser.py:134(goahead)
      908    0.013    0.000    3.176    0.003 ssl.py:1237(recv_into)
     2729    0.009    0.000    0.009    0.000 {built-in method __new__ of type object at 0xa43b40}
     2575    0.008    0.000    0.013    0.000 __init__.py:295(_replace_cdata_list_attribute_values)
     5624    0.008    0.000    0.030    0.000 __init__.py:586(endData)
      908    0.008    0.000    3.191    0.004 socket.py:693(readinto)
     2691    0.008    0.000    0.050    0.000 __init__.py:722(handle_starttag)
     8092    0.008    0.000    0.008    0.000 element.py:156(setup)
     2547    0.007    0.000    0.042    0.000 parser.py:379(parse_endtag)
     2691    0.007    0.000    0.059    0.000 _htmlparser.py:105(handle_starttag)
     2692    0.007    0.000    0.023    0.000 element.py:1199(__init__)
     2700    0.006    0.000    0.012    0.000 __init__.py:620(object_was_parsed)
    13179    0.005    0.000    0.005    0.000 {method 'group' of 're.Match' objects}
     8061    0.005    0.000    0.005    0.000 {method 'search' of 're.Pattern' objects}
        5    0.005    0.001    1.770    0.354 {method 'read' of '_io.BufferedReader' objects}
     2690    0.004    0.000    0.009    0.000 __init__.py:688(_popToTag)
    10747    0.004    0.000    0.008    0.000 _markupbase.py:44(updatepos)
     2692    0.004    0.000    0.005    0.000 __init__.py:572(pushTag)
      908    0.004    0.000    3.161    0.003 ssl.py:1095(read)
     2691    0.004    0.000    0.031    0.000 _htmlparser.py:160(handle_endtag)
    14180    0.004    0.000    0.004    0.000 {method 'lower' of 'str' objects}
    17303    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
     7972    0.003    0.000    0.003    0.000 {method 'count' of 'str' objects}
20366/20358    0.003    0.000    0.004    0.000 {built-in method builtins.isinstance}
    13450    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
      908    0.003    0.000    0.003    0.000 {method '_checkClosed' of '_io._IOBase' objects}
     2691    0.003    0.000    0.003    0.000 __init__.py:558(popTag)
     2700    0.003    0.000    0.008    0.000 element.py:943(__new__)
    14049    0.003    0.000    0.003    0.000 {method 'end' of 're.Match' objects}
      908    0.003    0.000    0.004    0.000 {method '_checkReadable' of '_io._IOBase' objects}
     1941    0.003    0.000    0.004    0.000 __init__.py:91(_replace_charref)
     2690    0.002    0.000    0.027    0.000 __init__.py:763(handle_endtag)
     2691    0.002    0.000    0.009    0.000 parser.py:345(check_for_whole_start_tag)
     2191    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
     8334    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
      413    0.002    0.000    0.006    0.000 {method 'sub' of 're.Pattern' objects}
     1430    0.002    0.000    0.002    0.000 __init__.py:648(_linkage_fixer)
        1    0.002    0.002    0.002    0.002 dammit.py:677(_to_unicode)
     2756    0.002    0.000    0.005    0.000 element.py:2303(search)
        1    0.001    0.001    0.001    0.001 {method 'connect' of '_socket.socket' objects}
     5812    0.001    0.000    0.007    0.000 __init__.py:122(unescape)
     2605    0.001    0.000    0.003    0.000 _htmlparser.py:178(handle_data)
      910    0.001    0.000    0.001    0.000 socket.py:732(readable)
     2700    0.001    0.000    0.002    0.000 __init__.py:523(string_container)
        3    0.001    0.000    0.007    0.002 element.py:792(_find_all)
     5493    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
     2691    0.001    0.000    0.001    0.000 element.py:1371(is_empty_element)
     1820    0.001    0.000    0.001    0.000 ssl.py:1083(_checkClosed)
5670/5663    0.001    0.000    0.001    0.000 {built-in method builtins.len}
     2726    0.001    0.000    0.001    0.000 __init__.py:773(handle_data)
     2702    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
        6    0.001    0.000    0.004    0.001 feedparser.py:216(_parsegen)
     2819    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
      912    0.001    0.000    0.001    0.000 {method '__exit__' of 'memoryview' objects}
       43    0.001    0.000    1.426    0.033 {method 'readline' of '_io.BufferedReader' objects}
     2692    0.001    0.000    0.001    0.000 __init__.py:205(can_be_empty_element)
     1440    0.001    0.000    0.002    0.000 element.py:2240(search_tag)
     2764    0.001    0.000    0.001    0.000 {built-in method builtins.next}
        2    0.001    0.000    0.002    0.001 feedparser.py:469(_parse_headers)
        2    0.001    0.000    0.063    0.031 client.py:213(_read_headers)
       14    0.001    0.000    0.001    0.000 url.py:227(_encode_invalid_chars)
     2715    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
     3085    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
       39    0.001    0.000    0.001    0.000 _policybase.py:301(header_source_parse)
        2    0.001    0.000    0.001    0.000 socket.py:221(__init__)
     2692    0.001    0.000    0.001    0.000 __init__.py:453(set_up_substitutions)
     2577    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
     1918    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     2753    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
     2691    0.000    0.000    0.000    0.000 _markupbase.py:36(getpos)
     5630    0.000    0.000    0.000    0.000 element.py:1586(__bool__)
        4    0.000    0.000    0.001    0.000 enum.py:1414(_missing_)
     2760    0.000    0.000    0.000    0.000 element.py:2062(descendants)
     2547    0.000    0.000    0.000    0.000 parser.py:127(clear_cdata_mode)
       16    0.000    0.000    0.001    0.000 message.py:494(get)
     21/9    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        2    0.000    0.000    3.210    1.605 connection.py:485(getresponse)
        1    0.000    0.000    0.660    0.660 connection.py:846(_ssl_wrap_socket_and_match_hostname)
        5    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        2    0.000    0.000    0.006    0.003 parser.py:56(parsestr)
       51    0.000    0.000    0.001    0.000 _policybase.py:289(_sanitize_header)
       51    0.000    0.000    0.001    0.000 _policybase.py:319(header_fetch_parse)
        6    0.000    0.000    0.000    0.000 _compiler.py:243(_optimize_charset)
     1821    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
   183/73    0.000    0.000    0.001    0.000 element.py:2336(_matches)
       12    0.000    0.000    0.000    0.000 _collections.py:257(__getitem__)
        5    0.000    0.000    0.002    0.000 url.py:367(parse_url)
        2    0.000    0.000    4.140    2.070 connectionpool.py:592(urlopen)
        2    0.000    0.000    0.000    0.000 feedparser.py:52(__init__)
      120    0.000    0.000    0.002    0.000 _markupbase.py:165(parse_comment)
  105/103    0.000    0.000    0.002    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.927    0.927 connection.py:669(connect)
       24    0.000    0.000    0.001    0.000 enum.py:726(__call__)
      210    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        2    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    0.009    0.009 ssl_.py:219(create_urllib3_context)
        2    0.000    0.000    0.000    0.000 ssl.py:678(verify_mode)
        2    0.000    0.000    0.000    0.000 response.py:316(__init__)
        8    0.000    0.000    0.001    0.000 message.py:596(get_content_type)
        3    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
       39    0.000    0.000    0.001    0.000 _collections.py:300(add)
        2    0.000    0.000    1.434    0.717 client.py:324(begin)
        2    0.000    0.000    0.001    0.001 _collections.py:335(extend)
        2    0.000    0.000    0.000    0.000 client.py:261(__init__)
       47    0.000    0.000    0.000    0.000 feedparser.py:77(readline)
      2/1    0.000    0.000    4.143    4.143 poolmanager.py:409(urlopen)
      120    0.000    0.000    0.002    0.000 _htmlparser.py:241(handle_comment)
       64    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        2    0.000    0.000    1.772    0.886 response.py:577(__init__)
       24    0.000    0.000    0.001    0.000 enum.py:1129(__new__)
        2    0.000    0.000    0.001    0.000 client.py:1027(send)
        2    0.000    0.000    0.001    0.000 client.py:1082(_send_output)
        2    0.000    0.000    0.000    0.000 parse.py:452(urlsplit)
       10    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
        6    0.000    0.000    0.000    0.000 {method 'read' of '_io.StringIO' objects}
        1    0.000    0.000    0.001    0.001 parse.py:539(urljoin)
        2    0.000    0.000    0.000    0.000 socket.py:304(makefile)
        5    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
       47    0.000    0.000    0.000    0.000 feedparser.py:127(__next__)
        2    0.000    0.000    4.138    2.069 connectionpool.py:377(_make_request)
        2    0.000    0.000    1.364    0.682 client.py:291(_read_status)
        3    0.000    0.000    1.771    0.590 response.py:864(_raw_read)
        3    0.000    0.000    0.000    0.000 {function SocketIO.close at 0x7fb1e4b67880}
        2    0.000    0.000    0.001    0.000 message.py:483(items)
       33    0.000    0.000    0.000    0.000 enum.py:1544(_get_value)
        6    0.000    0.000    0.000    0.000 client.py:1292(putheader)
        4    0.000    0.000    0.001    0.000 feedparser.py:100(push)
        2    0.000    0.000    0.006    0.003 parser.py:41(parse)
       15    0.000    0.000    0.001    0.000 <frozen _collections_abc>:804(get)
       53    0.000    0.000    0.000    0.000 utils.py:52(_has_surrogates)
        1    0.000    0.000    0.000    0.000 {built-in method today}
        2    0.000    0.000    0.000    0.000 message.py:243(get_payload)
        1    0.000    0.000    0.266    0.266 connection.py:192(_new_conn)
       41    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       52    0.000    0.000    0.001    0.000 __init__.py:280(_compile)
        2    0.000    0.000    0.001    0.001 connection.py:369(request)
        6    0.000    0.000    0.004    0.001 feedparser.py:176(_call_parse)
        2    0.000    0.000    0.000    0.000 feedparser.py:137(__init__)
        1    0.000    0.000    0.203    0.203 __init__.py:122(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:1517(debug)
        2    0.000    0.000    0.007    0.003 client.py:231(_parse_header_lines)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
       39    0.000    0.000    0.000    0.000 message.py:511(set_raw)
       48    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        2    0.000    0.000    0.000    0.000 client.py:1136(putrequest)
        8    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        1    0.000    0.000    0.266    0.266 connection.py:27(create_connection)
        4    0.000    0.000    0.000    0.000 typing.py:1465(__subclasscheck__)
        8    0.000    0.000    0.000    0.000 message.py:29(_splitparam)
        2    0.000    0.000    0.000    0.000 poolmanager.py:95(_default_key_normalizer)
        2    0.000    0.000    0.000    0.000 ssl.py:1200(sendall)
        8    0.000    0.000    0.000    0.000 url.py:301(_normalize_host)
        5    0.000    0.000    0.001    0.000 enum.py:1551(__or__)
      192    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
       16    0.000    0.000    0.000    0.000 {method 'join' of 'bytes' objects}
        2    0.000    0.000    0.001    0.001 _collections.py:240(__init__)
        2    0.000    0.000    0.000    0.000 response.py:685(_init_length)
        3    0.000    0.000    0.000    0.000 _parser.py:512(_parse)
        6    0.000    0.000    0.000    0.000 connection.py:355(putheader)
