('Total Revenue', '97,150,000.00', '96,773,000.00', '81,462,000.00', '53,823,000.00', '31,536,000.00')
         297891 function calls (297717 primitive calls) in 5.161 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    22046    0.021    0.000    0.021    0.000 {method 'match' of 're.Pattern' objects}
20406/20398    0.003    0.000    0.004    0.000 {built-in method builtins.isinstance}
    17303    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
    14180    0.004    0.000    0.004    0.000 {method 'lower' of 'str' objects}
    14049    0.002    0.000    0.002    0.000 {method 'end' of 're.Match' objects}
    13450    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
    13179    0.005    0.000    0.005    0.000 {method 'group' of 're.Match' objects}
    10747    0.004    0.000    0.008    0.000 _markupbase.py:44(updatepos)
     8334    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
     8092    0.007    0.000    0.007    0.000 element.py:156(setup)
     8061    0.005    0.000    0.005    0.000 {method 'search' of 're.Pattern' objects}
     7972    0.003    0.000    0.003    0.000 {method 'count' of 'str' objects}
     5812    0.001    0.000    0.007    0.000 __init__.py:122(unescape)
5670/5663    0.001    0.000    0.001    0.000 {built-in method builtins.len}
     5630    0.000    0.000    0.000    0.000 element.py:1586(__bool__)
     5624    0.008    0.000    0.030    0.000 __init__.py:586(endData)
     5493    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
     3095    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     2819    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     2764    0.001    0.000    0.001    0.000 {built-in method builtins.next}
     2760    0.000    0.000    0.000    0.000 element.py:2062(descendants)
     2756    0.002    0.000    0.005    0.000 element.py:2303(search)
     2753    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
     2729    0.010    0.000    0.010    0.000 {built-in method __new__ of type object at 0xa43b40}
     2726    0.001    0.000    0.001    0.000 __init__.py:773(handle_data)
     2715    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
     2702    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     2700    0.005    0.000    0.011    0.000 __init__.py:620(object_was_parsed)
     2700    0.003    0.000    0.008    0.000 element.py:943(__new__)
     2700    0.001    0.000    0.002    0.000 __init__.py:523(string_container)
     2692    0.004    0.000    0.005    0.000 __init__.py:572(pushTag)
     2692    0.007    0.000    0.023    0.000 element.py:1199(__init__)
     2692    0.001    0.000    0.001    0.000 __init__.py:453(set_up_substitutions)
     2692    0.001    0.000    0.001    0.000 __init__.py:205(can_be_empty_element)
     2691    0.008    0.000    0.051    0.000 __init__.py:722(handle_starttag)
     2691    0.003    0.000    0.003    0.000 __init__.py:558(popTag)
     2691    0.002    0.000    0.009    0.000 parser.py:345(check_for_whole_start_tag)
     2691    0.007    0.000    0.060    0.000 _htmlparser.py:105(handle_starttag)
     2691    0.023    0.000    0.120    0.000 parser.py:301(parse_starttag)
     2691    0.000    0.000    0.000    0.000 _markupbase.py:36(getpos)
