('Total Revenue', '97,150,000.00', '96,773,000.00', '81,462,000.00', '53,823,000.00', '31,536,000.00')
         294720 function calls (294516 primitive calls) in 8.921 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    5.000    5.000    5.000    5.000 {built-in method time.sleep}
      302    2.727    0.009    2.727    0.009 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.653    0.653    0.653    0.653 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.224    0.224    0.224    0.224 {built-in method _socket.getaddrinfo}
     2691    0.024    0.000    0.131    0.000 parser.py:301(parse_starttag)
       40    0.022    0.001    0.022    0.001 {method 'decompress' of 'zlib.Decompress' objects}
    22045    0.021    0.000    0.021    0.000 {method 'match' of 're.Pattern' objects}
        2    0.018    0.009    0.214    0.107 parser.py:134(goahead)
     2575    0.010    0.000    0.015    0.000 __init__.py:295(_replace_cdata_list_attribute_values)
     2691    0.009    0.000    0.056    0.000 __init__.py:722(handle_starttag)
     8092    0.009    0.000    0.009    0.000 element.py:156(setup)
     5624    0.008    0.000    0.031    0.000 __init__.py:586(endData)
     2691    0.008    0.000    0.067    0.000 _htmlparser.py:105(handle_starttag)
     2692    0.007    0.000    0.027    0.000 element.py:1199(__init__)
     2547    0.007    0.000    0.041    0.000 parser.py:379(parse_endtag)
        1    0.006    0.006    0.006    0.006 models.py:909(text)
       19    0.006    0.000    1.082    0.057 {method 'join' of 'bytes' objects}
    13179    0.005    0.000    0.005    0.000 {method 'group' of 're.Match' objects}
     8061    0.005    0.000    0.005    0.000 {method 'search' of 're.Pattern' objects}
     2690    0.005    0.000    0.010    0.000 __init__.py:688(_popToTag)
     2692    0.004    0.000    0.005    0.000 __init__.py:572(pushTag)
    10747    0.004    0.000    0.008    0.000 _markupbase.py:44(updatepos)
     2700    0.004    0.000    0.011    0.000 __init__.py:620(object_was_parsed)
      302    0.004    0.000    2.735    0.009 ssl.py:1237(recv_into)
    14609    0.004    0.000    0.004    0.000 {method 'lower' of 'str' objects}
     2691    0.004    0.000    0.031    0.000 _htmlparser.py:160(handle_endtag)
    17272    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
     7972    0.004    0.000    0.004    0.000 {method 'count' of 'str' objects}
    13443    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
20510/20502    0.003    0.000    0.004    0.000 {built-in method builtins.isinstance}
     2700    0.003    0.000    0.009    0.000 element.py:943(__new__)
     2691    0.003    0.000    0.004    0.000 __init__.py:558(popTag)
      302    0.003    0.000    2.740    0.009 socket.py:693(readinto)
    14049    0.003    0.000    0.003    0.000 {method 'end' of 're.Match' objects}
     2690    0.003    0.000    0.027    0.000 __init__.py:763(handle_endtag)
     2691    0.003    0.000    0.010    0.000 parser.py:345(check_for_whole_start_tag)
     8342    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
       41    0.002    0.000    0.025    0.001 response.py:122(decompress)
     1941    0.002    0.000    0.004    0.000 __init__.py:91(_replace_charref)
     2191    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
      302    0.002    0.000    2.730    0.009 ssl.py:1095(read)
     2745    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0xa43b40}
     1430    0.002    0.000    0.002    0.000 __init__.py:648(_linkage_fixer)
      413    0.002    0.000    0.005    0.000 {method 'sub' of 're.Pattern' objects}
       64    0.002    0.000    1.046    0.016 {method 'read' of '_io.BufferedReader' objects}
     2756    0.002    0.000    0.005    0.000 element.py:2303(search)
        1    0.002    0.002    0.002    0.002 {method 'connect' of '_socket.socket' objects}
     5812    0.001    0.000    0.007    0.000 __init__.py:122(unescape)
     2700    0.001    0.000    0.002    0.000 __init__.py:523(string_container)
     2605    0.001    0.000    0.003    0.000 _htmlparser.py:178(handle_data)
        3    0.001    0.000    0.007    0.002 element.py:792(_find_all)
5907/5900    0.001    0.000    0.001    0.000 {built-in method builtins.len}
     2691    0.001    0.000    0.002    0.000 element.py:1371(is_empty_element)
     5493    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
       41    0.001    0.000    0.904    0.022 response.py:1173(read_chunked)
     2726    0.001    0.000    0.001    0.000 __init__.py:773(handle_data)
      302    0.001    0.000    0.001    0.000 {method '_checkClosed' of '_io._IOBase' objects}
     2699    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     2692    0.001    0.000    0.001    0.000 __init__.py:205(can_be_empty_element)
     2849    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     2723    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
     1440    0.001    0.000    0.002    0.000 element.py:2240(search_tag)
        5    0.001    0.000    0.001    0.000 {method 'readlines' of '_io._IOBase' objects}
        2    0.001    0.000    0.002    0.001 feedparser.py:469(_parse_headers)
     2771    0.001    0.000    0.002    0.000 {built-in method builtins.next}
      302    0.001    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
       67    0.001    0.000    1.697    0.025 {method 'readline' of '_io.BufferedReader' objects}
     3117    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     2692    0.001    0.000    0.001    0.000 __init__.py:453(set_up_substitutions)
        5    0.001    0.000    0.002    0.000 request.py:2505(getproxies_environment)
     2579    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
        1    0.001    0.001    0.654    0.654 ssl.py:956(_create)
       10    0.001    0.000    0.001    0.000 url.py:227(_encode_invalid_chars)
     1909    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     2691    0.001    0.000    0.001    0.000 _markupbase.py:36(getpos)
     2762    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
       25    0.001    0.000    0.001    0.000 parse.py:374(urlparse)
     5630    0.001    0.000    0.001    0.000 element.py:1586(__bool__)
      339    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      306    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
        5    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
        1    0.000    0.000    0.000    0.000 netrc.py:66(netrc)
     2760    0.000    0.000    0.000    0.000 element.py:2062(descendants)
     2547    0.000    0.000    0.000    0.000 parser.py:127(clear_cdata_mode)
       61    0.000    0.000    0.876    0.014 client.py:633(_safe_read)
        6    0.000    0.000    0.004    0.001 feedparser.py:216(_parsegen)
       13    0.000    0.000    0.002    0.000 <frozen _collections_abc>:974(update)
      304    0.000    0.000    0.000    0.000 socket.py:732(readable)
