('Total Revenue', '97,150,000.00', '96,773,000.00', '81,462,000.00', '53,823,000.00', '31,536,000.00')
         294674 function calls (294475 primitive calls) in 3.938 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      305    2.393    0.008    2.393    0.008 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.677    0.677    0.677    0.677 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.509    0.509    0.509    0.509 {built-in method _socket.getaddrinfo}
       64    0.031    0.000    0.879    0.014 {method 'read' of '_io.BufferedReader' objects}
       40    0.028    0.001    0.028    0.001 {method 'decompress' of 'zlib.Decompress' objects}
     2691    0.025    0.000    0.135    0.000 parser.py:301(parse_starttag)
    22045    0.022    0.000    0.022    0.000 {method 'match' of 're.Pattern' objects}
        2    0.018    0.009    0.248    0.124 parser.py:134(goahead)
     2575    0.011    0.000    0.016    0.000 __init__.py:295(_replace_cdata_list_attribute_values)
     8092    0.009    0.000    0.009    0.000 element.py:156(setup)
     2691    0.009    0.000    0.059    0.000 __init__.py:722(handle_starttag)
     5624    0.009    0.000    0.032    0.000 __init__.py:586(endData)
     2691    0.008    0.000    0.070    0.000 _htmlparser.py:105(handle_starttag)
     2692    0.007    0.000    0.028    0.000 element.py:1199(__init__)
     2547    0.007    0.000    0.043    0.000 parser.py:379(parse_endtag)
        1    0.006    0.006    0.006    0.006 models.py:909(text)
    13179    0.006    0.000    0.006    0.000 {method 'group' of 're.Match' objects}
     8061    0.005    0.000    0.005    0.000 {method 'search' of 're.Pattern' objects}
     2690    0.005    0.000    0.010    0.000 __init__.py:688(_popToTag)
       19    0.005    0.000    0.894    0.047 {method 'join' of 'bytes' objects}
    10747    0.005    0.000    0.009    0.000 _markupbase.py:44(updatepos)
     2692    0.005    0.000    0.006    0.000 __init__.py:572(pushTag)
     2700    0.004    0.000    0.011    0.000 __init__.py:620(object_was_parsed)
    14609    0.004    0.000    0.004    0.000 {method 'lower' of 'str' objects}
     2691    0.004    0.000    0.032    0.000 _htmlparser.py:160(handle_endtag)
     7972    0.004    0.000    0.004    0.000 {method 'count' of 'str' objects}
    17272    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
      305    0.004    0.000    2.405    0.008 socket.py:693(readinto)
      305    0.004    0.000    2.399    0.008 ssl.py:1237(recv_into)
       41    0.004    0.000    0.032    0.001 response.py:122(decompress)
    13443    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
20470/20462    0.003    0.000    0.004    0.000 {built-in method builtins.isinstance}
     2700    0.003    0.000    0.009    0.000 element.py:943(__new__)
     2691    0.003    0.000    0.004    0.000 __init__.py:558(popTag)
        1    0.003    0.003    0.003    0.003 {method '_wrap_socket' of '_ssl._SSLContext' objects}
     2690    0.003    0.000    0.028    0.000 __init__.py:763(handle_endtag)
    14049    0.003    0.000    0.003    0.000 {method 'end' of 're.Match' objects}
     1941    0.003    0.000    0.004    0.000 __init__.py:91(_replace_charref)
     2691    0.003    0.000    0.010    0.000 parser.py:345(check_for_whole_start_tag)
     2191    0.003    0.000    0.003    0.000 {method 'findall' of 're.Pattern' objects}
     8342    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
     1430    0.002    0.000    0.003    0.000 __init__.py:648(_linkage_fixer)
     2756    0.002    0.000    0.006    0.000 element.py:2303(search)
     2745    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0xa43b40}
      413    0.002    0.000    0.006    0.000 {method 'sub' of 're.Pattern' objects}
        3    0.002    0.001    0.009    0.003 element.py:792(_find_all)
        1    0.002    0.002    0.002    0.002 {method 'connect' of '_socket.socket' objects}
      305    0.002    0.000    2.395    0.008 ssl.py:1095(read)
     5812    0.002    0.000    0.008    0.000 __init__.py:122(unescape)
     2700    0.001    0.000    0.002    0.000 __init__.py:523(string_container)
     2605    0.001    0.000    0.003    0.000 _htmlparser.py:178(handle_data)
     5493    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
      305    0.001    0.000    0.001    0.000 {method '_checkClosed' of '_io._IOBase' objects}
     2726    0.001    0.000    0.002    0.000 __init__.py:773(handle_data)
        7    0.001    0.000    0.001    0.000 {method 'settimeout' of '_socket.socket' objects}
5907/5900    0.001    0.000    0.001    0.000 {built-in method builtins.len}
     2691    0.001    0.000    0.002    0.000 element.py:1371(is_empty_element)
       41    0.001    0.000    0.887    0.022 response.py:1173(read_chunked)
        2    0.001    0.001    0.003    0.001 feedparser.py:469(_parse_headers)
     1440    0.001    0.000    0.002    0.000 element.py:2240(search_tag)
       67    0.001    0.000    1.558    0.023 {method 'readline' of '_io.BufferedReader' objects}
     2849    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     2699    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     2692    0.001    0.000    0.001    0.000 __init__.py:205(can_be_empty_element)
      305    0.001    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
     2771    0.001    0.000    0.002    0.000 {built-in method builtins.next}
     3107    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     2723    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
       25    0.001    0.000    0.001    0.000 parse.py:374(urlparse)
       42    0.001    0.000    0.033    0.001 response.py:469(_decode)
     1909    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     2692    0.001    0.000    0.001    0.000 __init__.py:453(set_up_substitutions)
     5630    0.001    0.000    0.001    0.000 element.py:1586(__bool__)
       40    0.001    0.000    0.851    0.021 response.py:1151(_handle_chunk)
     2762    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
     2760    0.001    0.000    0.001    0.000 element.py:2062(descendants)
      307    0.001    0.000    0.001    0.000 socket.py:732(readable)
     2579    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
     2691    0.001    0.000    0.001    0.000 _markupbase.py:36(getpos)
       41    0.001    0.000    0.001    0.000 response.py:1133(_update_chunk_length)
        1    0.001    0.001    0.681    0.681 ssl.py:956(_create)
        2    0.001    0.000    0.240    0.120 client.py:213(_read_headers)
        2    0.001    0.000    0.008    0.004 parser.py:56(parsestr)
     2547    0.000    0.000    0.000    0.000 parser.py:127(clear_cdata_mode)
       40    0.000    0.000    0.001    0.000 _policybase.py:301(header_source_parse)
        5    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        6    0.000    0.000    0.005    0.001 feedparser.py:216(_parsegen)
       61    0.000    0.000    0.851    0.014 client.py:633(_safe_read)
       16    0.000    0.000    0.001    0.000 message.py:494(get)
  129/127    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        2    0.000    0.000    0.000    0.000 socket.py:221(__init__)
       12    0.000    0.000    0.001    0.000 message.py:529(get_all)
       52    0.000    0.000    0.001    0.000 _policybase.py:289(_sanitize_header)
        2    0.000    0.000    0.001    0.000 _collections.py:335(extend)
      309    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
        2    0.000    0.000    0.008    0.004 client.py:231(_parse_header_lines)
       48    0.000    0.000    0.001    0.000 _collections.py:257(__getitem__)
        2    0.000    0.000    0.007    0.004 parser.py:41(parse)
     1821    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        2    0.000    0.000    1.570    0.785 connection.py:485(getresponse)
      3/2    0.000    0.000    2.018    1.009 sessions.py:159(resolve_redirects)
       48    0.000    0.000    0.001    0.000 feedparser.py:127(__next__)
       13    0.000    0.000    0.001    0.000 <frozen _collections_abc>:974(update)
      2/1    0.000    0.000    3.670    3.670 sessions.py:673(send)
   183/73    0.000    0.000    0.001    0.000 element.py:2336(_matches)
       65    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       48    0.000    0.000    0.000    0.000 feedparser.py:77(readline)
        5    0.000    0.000    0.001    0.000 request.py:2505(getproxies_environment)
      120    0.000    0.000    0.002    0.000 _markupbase.py:165(parse_comment)
      614    0.000    0.000    0.000    0.000 ssl.py:1083(_checkClosed)
